,birthplace,date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,award,biourl,movie,person,bioLink,movie_IMDB_Link,rating_bin,runtime_bin
0,"Chisinau, Moldova",30-Sep-1895,White,Unknown,Straight,1927,Best Director,http://www.nndb.com/people/320/000043191/,Two Arabian Knights,Lewis Milestone,https://www.imdb.com/name/nm0587277/,https://www.imdb.com/title/tt0018515/,7.0,0.0
1,"Glasgow, Scotland",2-Feb-1886,White,Unknown,Straight,1930,Best Director,http://www.nndb.com/people/626/000042500/,The Divine Lady,Frank Lloyd,https://www.imdb.com/name/nm0515979/,https://www.imdb.com/title/tt0019824/,6.0,0.0
2,"Chisinau, Moldova",30-Sep-1895,White,Unknown,Straight,1931,Best Director,http://www.nndb.com/people/320/000043191/,All Quiet on the Western Front,Lewis Milestone,https://www.imdb.com/name/nm0587277/,https://www.imdb.com/title/tt0020629/,8.0,2.5
3,"Chicago, Il",23-Feb-1899,White,Unknown,Straight,1932,Best Director,http://www.nndb.com/people/544/000041421/,Skippy,Norman Taurog,https://www.imdb.com/name/nm0851537/,https://www.imdb.com/title/tt0022397/,6.0,1.5
4,"Salt Lake City, Ut",23-Apr-1894,White,Christian,Straight,1933,Best Director,http://www.nndb.com/people/292/000044160/,Bad Girl,Frank Borzage,https://www.imdb.com/name/nm0097648/,https://www.imdb.com/title/tt0021635/,6.0,1.5
5,"Glasgow, Scotland",2-Feb-1886,White,Unknown,Straight,1934,Best Director,http://www.nndb.com/people/626/000042500/,Cavalcade,Frank Lloyd,https://www.imdb.com/name/nm0515979/,https://www.imdb.com/title/tt0023876/,6.0,2.0
6,"Bisacquino, Sicily, Italy",18-May-1897,White,Christian,Straight,1935,Best Director,http://www.nndb.com/people/459/000032363/,It Happened One Night,Frank Capra,https://www.imdb.com/name/nm0001008/awards,https://www.imdb.com/title/tt0025316/,8.0,2.0
7,"Cadiz, Oh",1-Feb-1901,White,Unknown,Straight,1935,Best Actor,http://www.nndb.com/people/156/000027075/,It Happened One Night,Clark Gable,https://www.imdb.com/name/nm0000022/awards,https://www.imdb.com/title/tt0025316/,8.0,2.0
8,"Paris, France",13-Sep-1903,White,Unknown,Straight,1935,Best Actress,http://www.nndb.com/people/935/000043806/,It Happened One Night,Claudette Colbert,https://www.imdb.com/name/nm0001055/awards,https://www.imdb.com/title/tt0025316/,8.0,2.0
9,"Cape Elizabeth, Me",1-Feb-1894,White,Christian,Bisexual,1936,Best Director,http://www.nndb.com/people/458/000032362/,The Informer,John Ford,https://www.imdb.com/name/nm0000406/awards,https://www.imdb.com/title/tt0026529/,8.0,1.5
10,"Tunbridge Wells, Kent, England",11-Dec-1883,White,Christian,Straight,1936,Best Actor,http://www.nndb.com/people/452/000047311/,The Informer,Victor McLaglen,https://www.imdb.com/name/nm0572142/,https://www.imdb.com/title/tt0026529/,8.0,1.5
11,"Bisacquino, Sicily, Italy",18-May-1897,White,Christian,Straight,1937,Best Director,http://www.nndb.com/people/459/000032363/,Mr. Deeds Goes to Town,Frank Capra,https://www.imdb.com/name/nm0001008/awards,https://www.imdb.com/title/tt0027996/,8.0,2.0
12,"Los Angeles, Ca",3-Oct-1898,White,Unknown,Straight,1938,Best Director,http://www.nndb.com/people/380/000044248/,The Awful Truth,Leo McCarey,https://www.imdb.com/name/nm0564970/,https://www.imdb.com/title/tt0028597/,8.0,1.5
13,"Bisacquino, Sicily, Italy",18-May-1897,White,Christian,Straight,1939,Best Director,http://www.nndb.com/people/459/000032363/,You Can't Take It with You,Frank Capra,https://www.imdb.com/name/nm0001008/awards,https://www.imdb.com/title/tt0030993/,8.0,2.0
14,"Pasadena, Ca",23-Feb-1883,White,Unknown,Straight,1940,Best Director,http://www.nndb.com/people/416/000041293/,Gone with the Wind,Victor Fleming,https://www.imdb.com/name/nm0281808/,https://www.imdb.com/title/tt0031381/,8.0,4.0
15,"Darjeeling, India",5-Nov-13,White,Christian,Straight,1940,Best Actress,http://www.nndb.com/people/470/000022404/,Gone with the Wind,Vivien Leigh,https://www.imdb.com/name/nm0000046/awards,https://www.imdb.com/title/tt0031381/,8.0,4.0
16,"Wichita, Ks",10-Jun-1893,Black,Christian,Matter of Dispute,1940,Best Supporting Actress,http://www.nndb.com/people/077/000063885/,Gone with the Wind,Hattie McDaniel,https://www.imdb.com/name/nm0567408/,https://www.imdb.com/title/tt0031381/,8.0,4.0
17,"Cape Elizabeth, Me",1-Feb-1894,White,Christian,Bisexual,1941,Best Director,http://www.nndb.com/people/458/000032362/,The Grapes of Wrath,John Ford,https://www.imdb.com/name/nm0000406/awards,https://www.imdb.com/title/tt0032551/,8.0,2.0
18,"Palmyra, Mo",15-Oct-1879,White,Unknown,Straight,1941,Best Supporting Actress,http://www.nndb.com/people/078/000063886/,The Grapes of Wrath,Jane Darwell,https://www.imdb.com/name/nm0002034/,https://www.imdb.com/title/tt0032551/,8.0,2.0
19,"Cape Elizabeth, Me",1-Feb-1894,White,Christian,Bisexual,1942,Best Director,http://www.nndb.com/people/458/000032362/,How Green Was My Valley,John Ford,https://www.imdb.com/name/nm0000406/awards,https://www.imdb.com/title/tt0033729/,8.0,2.0
