Person;Date of birth;Birthplace;Country of birth;Award;Edition;Movie;Year of award;Bio NNDB;Bio IMDb;Bio Wikipedia
William Saroyan;1908-08-31;Fresno;United States of America;Best Story;16th Academy Awards;The Human Comedy;1943;https://www.nndb.com/people/299/000046161;https://www.imdb.com/name/nm0765490;https://en.wikipedia.org/wiki/William_Saroyan
Patricia Arquette;1968-04-08;Chicago;United States of America;Best Supporting Actress;87th Academy Awards;Boyhood;2015;https://www.nndb.com/people/207/000026129;https://www.imdb.com/name/nm0000099;https://en.wikipedia.org/wiki/Patricia_Arquette
Francis Ford Coppola;1939-04-07;Detroit;United States of America;Best Writing, Adapted Screenplay;45th Academy Awards;The Godfather;1972;https://www.nndb.com/people/866/000022800;https://www.imdb.com/name/nm0000338;https://en.wikipedia.org/wiki/Francis_Ford_Coppola
Elia Kazan;1909-09-07;Constantinople;Ottoman Empire;Best Director;27th Academy Awards;On the Waterfront;1954;https://www.nndb.com/people/537/000026459;https://www.imdb.com/name/nm0001415;https://en.wikipedia.org/wiki/Elia_Kazan
Robin Williams;1951-07-21;Chicago;United States of America;Best Supporting Actor;70th Academy Awards;mente indomable;1997;https://www.nndb.com/people/606/000022540;https://www.imdb.com/name/nm0000245;https://en.wikipedia.org/wiki/Robin_Williams
Diane Keaton;1946-01-05;Los Angeles;United States of America;Best Actress;50th Academy Awards;Annie Hall;1977;https://www.nndb.com/people/879/000022813;https://www.imdb.com/name/nm0000473;https://en.wikipedia.org/wiki/Diane_Keaton
Quentin Tarantino;1963-03-27;Knoxville;United States of America;Best Writing, Original Screenplay;67th Academy Awards;Pulp Fiction;1994;https://www.nndb.com/people/664/000023595;https://www.imdb.com/name/nm0000233;https://en.wikipedia.org/wiki/Quentin_Tarantino
Christoph Waltz;1956-10-04;Vienna;Austria;Best Supporting Actor;82nd Academy Awards;Inglourious Basterds;2009;https://www.nndb.com/people/455/000213813;https://www.imdb.com/name/nm0910607;https://en.wikipedia.org/wiki/Christoph_Waltz
Julianne Moore;1960-12-03;Fort Bragg;United States of America;Best Actress;87th Academy Awards;Still Alice;2015;https://www.nndb.com/people/670/000023601;https://www.imdb.com/name/nm0000194;https://en.wikipedia.org/wiki/Julianne_Moore
Joseph Schildkraut;1896-03-22;Vienna;Austria;Best Supporting Actor;10th Academy Awards;The Life of Emile Zola;1937;https://www.nndb.com/people/115/000063923;https://www.imdb.com/name/nm0771584;https://en.wikipedia.org/wiki/Joseph_Schildkraut
Tim Robbins;1958-10-16;West Covina;United States of America;Best Supporting Actor;76th Academy Awards;Mystic River;2004;https://www.nndb.com/people/614/000025539;https://www.imdb.com/name/nm0000209;https://en.wikipedia.org/wiki/Tim_Robbins
Olivia de Havilland;1916-07-01;Tokyo;Japan;Best Actress;19th Academy Awards;To Each His Own;1946;https://www.nndb.com/people/741/000022675;https://www.imdb.com/name/nm0000014;https://en.wikipedia.org/wiki/Olivia_de_Havilland
Jerry Goldsmith;1929-02-10;Los Angeles;United States of America;Best Original Score;49th Academy Awards;The Omen;1976;https://www.nndb.com/people/743/000054581;https://www.imdb.com/name/nm0000025;https://en.wikipedia.org/wiki/Jerry_Goldsmith
Jason Robards;1922-07-26;Chicago;United States of America;Best Supporting Actor;50th Academy Awards;Julia;1977;https://www.nndb.com/people/224/000032128;https://www.imdb.com/name/nm0001673;https://en.wikipedia.org/wiki/Jason_Robards
Gig Young;1913-11-04;St. Cloud;United States of America;Best Supporting Actor;42nd Academy Awards;They Shoot Horses, Don't They?;1969;https://www.nndb.com/people/110/000063918;https://www.imdb.com/name/nm0949574;https://en.wikipedia.org/wiki/Gig_Young
James Coburn;1928-08-31;Laurel;United States of America;Best Supporting Actor;71st Academy Awards;Affliction;1999;https://www.nndb.com/people/764/000022698;https://www.imdb.com/name/nm0000336;https://en.wikipedia.org/wiki/James_Coburn
Melvyn Douglas;1901-04-05;Macon;United States of America;Best Supporting Actor;52nd Academy Awards;Being There;1979;https://www.nndb.com/people/100/000063908;https://www.imdb.com/name/nm0002048;https://en.wikipedia.org/wiki/Melvyn_Douglas
Martin Balsam;1919-11-04;New York City;United States of America;Best Supporting Actor;38th Academy Awards;A Thousand Clowns;1965;https://www.nndb.com/people/111/000063919;https://www.imdb.com/name/nm0000842;https://en.wikipedia.org/wiki/Martin_Balsam
Jim Clark;1931-05-24;Boston;United Kingdom;Best Film Editing;57th Academy Awards;The Killing Fields;1985;;https://www.imdb.com/name/nm0164083;https://en.wikipedia.org/wiki/Jim_Clark_(film_editor)
Jon Landau;1960-07-23;New York City;United States of America;Best Picture;70th Academy Awards;Titanic;1997;;https://www.imdb.com/name/nm0484457;https://en.wikipedia.org/wiki/Jon_Landau_(film_producer)
Ferenc Rofusz;1946-08-19;Budapest;Hungary;Best Animated Short Film;53rd Academy Awards;The Fly;1981;;https://www.imdb.com/name/nm0736537;https://en.wikipedia.org/wiki/Ferenc_Rofusz
Marion Cotillard;1975-09-30;Paris;France;Best Actress;80th Academy Awards;La Vie en Rose;2008;https://www.nndb.com/people/723/000136315;https://www.imdb.com/name/nm0182839;https://en.wikipedia.org/wiki/Marion_Cotillard
Herbie Hancock;1940-04-12;Chicago;United States of America;Best Original Score;59th Academy Awards;Round Midnight;1986;https://www.nndb.com/people/181/000024109;https://www.imdb.com/name/nm0359372;https://en.wikipedia.org/wiki/Herbie_Hancock
John Barry;1933-11-03;York;United Kingdom;Best Original Score, no Musical;41st Academy Awards;The Lion in Winter;1968;https://www.nndb.com/people/609/000031516;https://www.imdb.com/name/nm0000290;https://en.wikipedia.org/wiki/John_Barry_(composer)
Max Steiner;1888-05-10;Vienna;Austria;Best Score, Adaptation or Treatment;8th Academy Awards;The Informer;1935;https://www.nndb.com/people/433/000205815;https://www.imdb.com/name/nm0000070;https://en.wikipedia.org/wiki/Max_Steiner
Renée Zellweger;1969-04-25;Katy;United States of America;Best Actress;92nd Academy Awards;Judy;2020;https://www.nndb.com/people/708/000024636;https://www.imdb.com/name/nm0000250;https://en.wikipedia.org/wiki/Ren%C3%A9e_Zellweger
Marlon Brando;1924-04-03;Omaha;United States of America;Best Actor;45th Academy Awards;The Godfather;1972;https://www.nndb.com/people/721/000022655;https://www.imdb.com/name/nm0000008;https://en.wikipedia.org/wiki/Marlon_Brando
Gene Hackman;1930-01-30;San Bernardino;United States of America;Best Supporting Actor;65th Academy Awards;Unforgiven;1992;https://www.nndb.com/people/878/000022812;https://www.imdb.com/name/nm0000432;https://en.wikipedia.org/wiki/Gene_Hackman
André Previn;1929-04-06;Berlin;Germany;Best Original Musical Score;31st Academy Awards;Gigi;1959;https://www.nndb.com/people/299/000023230;https://www.imdb.com/name/nm0006238;https://en.wikipedia.org/wiki/Andr%C3%A9_Previn
Daniel Day-Lewis;1957-04-29;London;United Kingdom;Best Actor;62nd Academy Awards;My Left Foot;1989;https://www.nndb.com/people/788/000022722;https://www.imdb.com/name/nm0000358;https://en.wikipedia.org/wiki/Daniel_Day-Lewis
Elizabeth Taylor;1932-02-27;Hampstead Garden Suburb;United Kingdom;Best Actress;39th Academy Awards;Who's Afraid of Virginia Woolf?;1966;https://www.nndb.com/people/624/000023555;https://www.imdb.com/name/nm0000072;https://en.wikipedia.org/wiki/Elizabeth_Taylor
Tyron Montgomery;1967-04-09;Germany;Germany;Best Animated Short Film;69th Academy Awards;Quest;1996;;https://www.imdb.com/name/nm0599946;
Tyron Montgomery;1967-04-09;Ireland;Ireland;Best Animated Short Film;69th Academy Awards;Quest;1996;;https://www.imdb.com/name/nm0599946;
William Friedkin;1935-08-29;Chicago;United States of America;Best Director;44th Academy Awards;The French Connection;1971;https://www.nndb.com/people/112/000024040;https://www.imdb.com/name/nm0001243;https://en.wikipedia.org/wiki/William_Friedkin
Fred Zinnemann;1907-04-29;Rzeszów;Poland;Best Director;39th Academy Awards;A Man for All Seasons;1967;https://www.nndb.com/people/538/000032442;https://www.imdb.com/name/nm0003593;https://en.wikipedia.org/wiki/Fred_Zinnemann
Peter Ustinov;1921-04-16;London Borough of Camden;United Kingdom;Best Supporting Actor;33rd Academy Awards;Spartacus;1960;https://www.nndb.com/people/810/000022744;https://www.imdb.com/name/nm0001811;https://en.wikipedia.org/wiki/Peter_Ustinov
Howard Shore;1946-10-18;Toronto;Canada;Best Original Score;76th Academy Awards;The Lord of the Rings: The Return of the King;2003;;https://www.imdb.com/name/nm0006290;https://en.wikipedia.org/wiki/Howard_Shore
Charles L. Campbell;1930-08-17;;;Best Sound Editing;58th Academy Awards;Back to the Future;1985;;https://www.imdb.com/name/nm0132287;https://en.wikipedia.org/wiki/Charles_L._Campbell
Chris Newman;1940-02-17;New York City;United States of America;Best Sound Mixing;69th Academy Awards;The English Patient;1996;;https://www.imdb.com/name/nm0628039;https://en.wikipedia.org/wiki/Chris_Newman_(sound_engineer)
Claire Simpson;2000-01-01;;;Best Film Editing;59th Academy Awards;Platoon;1986;;https://www.imdb.com/name/nm0800943;https://en.wikipedia.org/wiki/Claire_Simpson
Walter Murch;1943-07-12;New York City;United States of America;Best Film Editing;69th Academy Awards;The English Patient;1996;;https://www.imdb.com/name/nm0004555;https://en.wikipedia.org/wiki/Walter_Murch
Matthew McConaughey;1969-11-04;Uvalde;United States of America;Best Actor;86th Academy Awards;Dallas Buyers Club;2014;https://www.nndb.com/people/583/000023514;https://www.imdb.com/name/nm0000190;https://en.wikipedia.org/wiki/Matthew_McConaughey
Natalie Portman;1981-06-09;Jerusalem;Israel;Best Actress;83rd Academy Awards;Black Swan;2011;https://www.nndb.com/people/040/000022971;https://www.imdb.com/name/nm0000204;https://en.wikipedia.org/wiki/Natalie_Portman
Ingrid Bergman;1915-08-29;Hedvig Eleonora församling;Sweden;Best Supporting Actress;47th Academy Awards;Murder on the Orient Express;1974;https://www.nndb.com/people/836/000024764;https://www.imdb.com/name/nm0000006;https://en.wikipedia.org/wiki/Ingrid_Bergman
Katharine Hepburn;1907-05-12;Hartford;United States of America;Best Actress;41st Academy Awards;The Lion in Winter;1968;https://www.nndb.com/people/775/000023706;https://www.imdb.com/name/nm0000031;https://en.wikipedia.org/wiki/Katharine_Hepburn
Gustavo Santaolalla;1951-08-19;El Palomar, Buenos Aires;Argentina;Best Original Score;79th Academy Awards;Babel;2006;;https://www.imdb.com/name/nm0763395;https://en.wikipedia.org/wiki/Gustavo_Santaolalla
Elia Kazan;1909-09-07;Constantinople;Latin Empire;Best Director;27th Academy Awards;On the Waterfront;1954;https://www.nndb.com/people/537/000026459;https://www.imdb.com/name/nm0001415;https://en.wikipedia.org/wiki/Elia_Kazan
Walter Brennan;1894-07-25;Lynn;United States of America;Best Supporting Actor;11th Academy Awards;Kentucky;1938;https://www.nndb.com/people/347/000032251;https://www.imdb.com/name/nm0000974;https://en.wikipedia.org/wiki/Walter_Brennan
Gary Oldman;1958-03-21;London;United Kingdom;Best Actor;90th Academy Awards;Darkest Hour;2018;https://www.nndb.com/people/550/000022484;https://www.imdb.com/name/nm0000198;https://en.wikipedia.org/wiki/Gary_Oldman
Hilary Swank;1974-07-30;Lincoln;United States of America;Best Actress;72nd Academy Awards;Boys Don't Cry;1999;https://www.nndb.com/people/333/000026255;https://www.imdb.com/name/nm0005476;https://en.wikipedia.org/wiki/Hilary_Swank
Diablo Cody;1978-06-14;Lemont;United States of America;Best Writing, Original Screenplay;80th Academy Awards;Juno;2008;https://www.nndb.com/people/813/000165318;https://www.imdb.com/name/nm1959505;https://en.wikipedia.org/wiki/Diablo_Cody
Stanley Kubrick;1928-07-26;The Bronx;United States of America;Best Visual Effects;41st Academy Awards;2001: A Space Odyssey;1968;https://www.nndb.com/people/475/000022409;https://www.imdb.com/name/nm0000040;https://en.wikipedia.org/wiki/Stanley_Kubrick
Ruth Prawer Jhabvala;1927-05-07;Cologne;Germany;Best Writing, Adapted Screenplay;65th Academy Awards;Howards End;1993;https://www.nndb.com/people/247/000104932;https://www.imdb.com/name/nm0695609;https://en.wikipedia.org/wiki/Ruth_Prawer_Jhabvala
Jason Robards;1922-07-26;Chicago;United States of America;Best Supporting Actor;49th Academy Awards;All the President's Men;1976;https://www.nndb.com/people/224/000032128;https://www.imdb.com/name/nm0001673;https://en.wikipedia.org/wiki/Jason_Robards
Ron Howard;1954-03-01;Duncan;United States of America;Best Director;74th Academy Awards;A Beautiful Mind;2002;https://www.nndb.com/people/365/000025290;https://www.imdb.com/name/nm0000165;https://en.wikipedia.org/wiki/Ron_Howard
Mary Pickford;1892-04-08;Toronto;Canada;Best Actress;2nd Academy Awards;Coquette;1929;https://www.nndb.com/people/683/000042557;https://www.imdb.com/name/nm0681933;https://en.wikipedia.org/wiki/Mary_Pickford
Haing S. Ngor;1940-03-22;French Indochina;Tonkin;Best Supporting Actor;57th Academy Awards;The Killing Fields;1984;https://www.nndb.com/people/093/000063901;https://www.imdb.com/name/nm0628955;https://en.wikipedia.org/wiki/Haing_S._Ngor
Bong Joon-ho;1969-09-14;Daegu;South Korea;Best Director;92nd Academy Awards;Parasite;2019;;https://www.imdb.com/name/nm0094435;https://en.wikipedia.org/wiki/Bong_Joon-ho
Mel Brooks;1926-06-28;Brooklyn;United States of America;Best Writing, Original Screenplay;41st Academy Awards;The Producers;1968;https://www.nndb.com/people/542/000022476;https://www.imdb.com/name/nm0000316;https://en.wikipedia.org/wiki/Mel_Brooks
Kevin Kline;1947-10-24;St. Louis;United States of America;Best Supporting Actor;61st Academy Awards;A Fish Called Wanda;1988;https://www.nndb.com/people/819/000024747;https://www.imdb.com/name/nm0000177;https://en.wikipedia.org/wiki/Kevin_Kline
Luise Rainer;1910-01-12;Vienna;Austria;Best Actress;10th Academy Awards;The Good Earth;1937;https://www.nndb.com/people/796/000030706;https://www.imdb.com/name/nm0707023;https://en.wikipedia.org/wiki/Luise_Rainer
George Bernard Shaw;1856-07-26;Dublin;Ireland;Best Writing, Adapted Screenplay;11th Academy Awards;Pygmalion;1939;https://www.nndb.com/people/601/000030511;https://www.imdb.com/name/nm0789737;https://en.wikipedia.org/wiki/George_Bernard_Shaw
William Hurt;1950-03-20;Washington, D.C.;United States of America;Best Actor;58th Academy Awards;Kiss of the Spider Woman;1985;https://www.nndb.com/people/683/000023614;https://www.imdb.com/name/nm0000458;https://en.wikipedia.org/wiki/William_Hurt
Simone Signoret;1921-03-25;Wiesbaden;Germany;Best Actress;32nd Academy Awards;Room at the Top;1960;https://www.nndb.com/people/804/000063615;https://www.imdb.com/name/nm0797531;https://en.wikipedia.org/wiki/Simone_Signoret
John Barry;1933-11-03;York;United Kingdom;Best Original Score;58th Academy Awards;Out of Africa;1985;https://www.nndb.com/people/609/000031516;https://www.imdb.com/name/nm0000290;https://en.wikipedia.org/wiki/John_Barry_(composer)
Ang Lee;1954-10-23;Chaozhou;Taiwan;Best Director;78th Academy Awards;Brokeback Mountain;2005;https://www.nndb.com/people/394/000025319;https://www.imdb.com/name/nm0000487;https://en.wikipedia.org/wiki/Ang_Lee
Sammy Fain;1902-06-17;New York City;United States of America;Best Original Song;28th Academy Awards;Love Is a Many-Splendored Thing;1956;https://www.nndb.com/people/366/000205748;https://www.imdb.com/name/nm0006066;https://en.wikipedia.org/wiki/Sammy_Fain
Vivien Leigh;1913-11-05;Darjeeling;India;Best Actress;24th Academy Awards;A Streetcar Named Desire;1951;https://www.nndb.com/people/470/000022404;https://www.imdb.com/name/nm0000046;https://en.wikipedia.org/wiki/Vivien_Leigh
Brad Pitt;1963-12-18;Shawnee;United States of America;Best Picture;86th Academy Awards;12 Years a Slave;2014;https://www.nndb.com/people/688/000025613;https://www.imdb.com/name/nm0000093;https://en.wikipedia.org/wiki/Brad_Pitt
Alejandro González Iñárritu;1963-08-15;Mexico City;Mexico;Best Writing, Original Screenplay;87th Academy Awards;Birdman;2015;;https://www.imdb.com/name/nm0327944;https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu
Tyron Montgomery;1967-04-29;Germany;Germany;Best Animated Short Film;69th Academy Awards;Quest;1996;;https://www.imdb.com/name/nm0599946;
Hayao Miyazaki;1941-01-05;Bunkyō-ku;Japan;Best Animated Feature;75th Academy Awards;Spirited Away;2002;https://www.nndb.com/people/940/000059763;https://www.imdb.com/name/nm0594503;https://en.wikipedia.org/wiki/Hayao_Miyazaki
Damien Chazelle;1985-01-19;Providence;United States of America;Best Director;89th Academy Awards;La La Land;2017;;https://www.imdb.com/name/nm3227090;https://en.wikipedia.org/wiki/Damien_Chazelle
Anna Udvardy;1949-01-01;Budapest;Hungary;Best Live Action Short Film;89th Academy Awards;Sing;2017;;https://www.imdb.com/name/nm2686265;https://en.wikipedia.org/wiki/Anna_Udvardy
Morgan Freeman;1937-06-01;Memphis;United States of America;Best Supporting Actor;77th Academy Awards;Million Dollar Baby;2004;https://www.nndb.com/people/982/000023913;https://www.imdb.com/name/nm0000151;https://en.wikipedia.org/wiki/Morgan_Freeman
Jack Nicholson;1937-04-22;Neptune City;United States of America;Best Actor;70th Academy Awards;As Good as It Gets;1998;https://www.nndb.com/people/722/000022656;https://www.imdb.com/name/nm0000197;https://en.wikipedia.org/wiki/Jack_Nicholson
Mel Gibson;1956-01-03;Peekskill;United States of America;Best Director;68th Academy Awards;Braveheart;1995;https://www.nndb.com/people/583/000022517;https://www.imdb.com/name/nm0000154;https://en.wikipedia.org/wiki/Mel_Gibson
Nicolas Cage;1964-01-07;Long Beach;United States of America;Best Actor;68th Academy Awards;Leaving Las Vegas;1996;https://www.nndb.com/people/751/000022685;https://www.imdb.com/name/nm0000115;https://en.wikipedia.org/wiki/Nicolas_Cage
Christian Bale;1974-01-30;Haverfordwest;United Kingdom;Best Supporting Actor;83rd Academy Awards;The Fighter;2011;https://www.nndb.com/people/877/000031784;https://www.imdb.com/name/nm0000288;https://en.wikipedia.org/wiki/Christian_Bale
Benicio del Toro;1967-02-19;San Germán;United States of America;Best Supporting Actor;73rd Academy Awards;Traffic;2000;https://www.nndb.com/people/087/000026009;https://www.imdb.com/name/nm0001125;https://en.wikipedia.org/wiki/Benicio_del_Toro
Paul Francis Webster;1907-12-20;New York City;United States of America;Best Original Song;28th Academy Awards;Love Is a Many-Splendored Thing;1956;https://www.nndb.com/people/544/000205926;https://www.imdb.com/name/nm0916990;https://en.wikipedia.org/wiki/Paul_Francis_Webster
Spencer Tracy;1900-04-05;Milwaukee;United States of America;Best Actor;11th Academy Awards;Boys Town;1938;https://www.nndb.com/people/979/000024907;https://www.imdb.com/name/nm0000075;https://en.wikipedia.org/wiki/Spencer_Tracy
Walter Brennan;1894-07-25;Lynn;United States of America;Best Supporting Actor;13th Academy Awards;The Westerner;1940;https://www.nndb.com/people/347/000032251;https://www.imdb.com/name/nm0000974;https://en.wikipedia.org/wiki/Walter_Brennan
James Stewart;1908-05-20;Indiana County;United States of America;Best Actor;13th Academy Awards;The Philadelphia Story;1940;https://www.nndb.com/people/659/000026581;https://www.imdb.com/name/nm0000071;https://en.wikipedia.org/wiki/James_Stewart
Emil Jannings;1884-07-23;Rorschach;Switzerland;Best Actor;1st Academy Awards;The Way of All Flesh;1929;https://www.nndb.com/people/738/000063549;https://www.imdb.com/name/nm0417837;https://en.wikipedia.org/wiki/Emil_Jannings
Cate Blanchett;1969-05-14;Melbourne;Australia;Best Supporting Actress;77th Academy Awards;The Aviator;2005;https://www.nndb.com/people/222/000026144;https://www.imdb.com/name/nm0000949;https://en.wikipedia.org/wiki/Cate_Blanchett
Chris Cooper;1951-07-09;Kansas City;United States of America;Best Supporting Actor;75th Academy Awards;Adaptation;2002;https://www.nndb.com/people/130/000025055;https://www.imdb.com/name/nm0177933;https://en.wikipedia.org/wiki/Chris_Cooper
Anne Dudley;1956-05-07;Chatham;United Kingdom;Best Original Musical or Comedy Score;70th Academy Awards;The Full Monty;1997;https://www.nndb.com/people/551/000042425;https://www.imdb.com/name/nm0006050;https://en.wikipedia.org/wiki/Anne_Dudley
Barry Fitzgerald;1888-03-10;Dublin;Ireland;Best Supporting Actor;17th Academy Awards;Going My Way;1944;https://www.nndb.com/people/126/000063934;https://www.imdb.com/name/nm0280178;https://en.wikipedia.org/wiki/Barry_Fitzgerald
Martin Landau;1928-06-20;Brooklyn;United States of America;Best Supporting Actor;67th Academy Awards;Ed Wood;1994;https://www.nndb.com/people/431/000023362;https://www.imdb.com/name/nm0001445;https://en.wikipedia.org/wiki/Martin_Landau
Haing S. Ngor;1940-03-22;French Indochina;Guangzhouwan;Best Supporting Actor;57th Academy Awards;The Killing Fields;1984;https://www.nndb.com/people/093/000063901;https://www.imdb.com/name/nm0628955;https://en.wikipedia.org/wiki/Haing_S._Ngor
Ken Ralston;1954-01-01;;;Best Visual Effects;65th Academy Awards;Death Becomes Her;1993;;https://www.imdb.com/name/nm0707822;https://en.wikipedia.org/wiki/Ken_Ralston
Ken Ralston;1954-01-01;;;Best Visual Effects;58th Academy Awards;Cocoon;1986;;https://www.imdb.com/name/nm0707822;https://en.wikipedia.org/wiki/Ken_Ralston
